NPRI Number	Facility Name	Company Name	Province	City	Address	Postal Code	Rural Address	NAICS Name	NAICS Data Link	2011 Hg Emissions (kg)	2011 Cr(VI) Emissions (kg)	NPRI Data Link 	NAICS2	NAICS3	NAICS4	Latitude	Longitude
0000005459	Mines Wabush - Sept-Iles	Mines Wabush	Quebec	Sept-Îles	1505 Chemin de la Pointe Noire	G4R4L4	0	Iron Ore Mining	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=212210	10.73	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000005459&amp;amp;amp;opt_report_year=2011	21	212	2122	50.16160000	-66.48380000
0000005448	Mine Raglan	Xstrata Canada Corporation - Duplicate	Quebec	Rouyn-Noranda	0 - 120 Avenue de l'Aéroport	J9X5B7	0	Nickel-Copper Ore Mining	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=212232	0.08	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000005448&amp;amp;amp;opt_report_year=2011	21	212	2122	61.69160000	-73.66660000
0000006444	Centrale de Senneterre	Société en Commandite Boralex Énergie	Quebec	Senneterre	160 Avenue 6e	J0Y2M0	0	Other Electric Power Generation	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=221119	4.97	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000006444&amp;amp;amp;opt_report_year=2011	22	221	2211	48.38560000	-77.22130000
0000008642	Centrale de Cogénération À la Biomasse	Kruger Énergie Bromptonville S.E.C.	Quebec	Sherbrooke	220 Route de Windsor	J1C0E6	0	Other Electric Power Generation	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=221119	12.40	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000008642&amp;amp;amp;opt_report_year=2011	22	221	2211	45.48080000	-71.95190000
0000005528	Centre d'Épuration Rive-Sud	Ville de Longueuil	Quebec	Longueuil	2999 Charron	J4G1R6	0	Sewage Treatment Facilities	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=221320	1.64	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000005528&amp;amp;amp;opt_report_year=2011	22	221	2213	45.58370000	-73.48620000
0000003571	Station d'Épuration des Eaux Usées Jean-R.-Marcott	Ville de Montreal	Quebec	Montréal	12001 Boulevard Maurice-Duplessis Nord-E	H1C1V3	0	Sewage Treatment Facilities	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=221320	35.00	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000003571&amp;amp;amp;opt_report_year=2011	22	221	2213	45.67220000	-73.52500000
0000005526	Tafisa Canada	Tafisa Canada Inc.	Quebec	Lac-Mégantic	4660 Villeneuve	G6B2C3	0	Particle Board & Fibreboard Mills	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=321216	0.19	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000005526&amp;amp;amp;opt_report_year=2011	32	321	3212	45.58460000	-70.86730000
0000000983	Division Alma	Abibowcanada Inc.	Quebec	Alma	1100 Rue Melançon	G8B5W2	0	Mechanical Pulp Mills	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=322111	0.31	1.53	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000000983&amp;amp;amp;opt_report_year=2011	32	322	3221	48.56500000	-71.65580000
0000001195	Domtar Usine de Windsor	Domtar Inc.	Quebec	Windsor	609 Rang 12	J1S2L9	0	Chemical Pulp Mills	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=322112	1.00	8.24	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000001195&amp;amp;amp;opt_report_year=2011	32	322	3221	45.55420000	-71.99580000
0000002948	Site de Témiscaming	Tembec	Quebec	Témiscaming	33 Chemin Kipawa	J0Z3R0	0	Chemical Pulp Mills	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=322112	0.38	1.26	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000002948&amp;amp;amp;opt_report_year=2011	32	322	3221	46.71110000	-79.09670000
0000002502	Kruger Wayagamack Inc.	Kruger Wayagamack Inc.	Quebec	Trois-Rivières	1 Ile de la Potherie	G9A5E9	0	Paper (except Newsprint) Mills	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=322121	15.01	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000002502&amp;amp;amp;opt_report_year=2011	32	322	3221	46.35830000	-72.51850000
0000003140	Usine de la Tuque	Emballages Rocktenn-Canada, L.P.	Quebec	La Tuque	1000 Chemin de l'Usine	G9X3P8	0	Paperboard Mills	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=322130	1.45	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000003140&amp;amp;amp;opt_report_year=2011	32	322	3221	47.45000000	-72.79170000
0000003897	Raffinerie de Montreal	Suncor Energy Products Partnership	Quebec	Montreal	11701 Sherbrooke Street East	H1B1C3	0	Petroleum Refineries	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=324110	1.44	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000003897&amp;amp;amp;opt_report_year=2011	32	324	3241	45.64170000	-73.51670000
0000004039	Mansonville	Nexkemia Pétrochimie Inc.	Quebec	Mansonville	24 Bellevue	J0E1X0	0	Resin & Synthetic Rubber Mfg.	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=325210	0.02	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000004039&amp;amp;amp;opt_report_year=2011	32	325	3252	45.04860000	-72.38470000
0000005443	Anachemia Canada Co	Anachemia Canada Co	Quebec	Lachine	255 Norman Street	H8R 1A3	0	All Other Misc. Chemical Product Mfg.	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=325999	0.05	0.03	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000005443&amp;amp;amp;opt_report_year=2011	32	325	3259	45.44880000	-73.66210000
