Station Number	Province	City	Address	Location Type	2011 Average Fine Particulate Matter (µg/m3)	2011 Peak Fine Particulate Matter (µg/m3)	2011 Average Ozone (ppb)	2011 Peak Ozone (ppb)	2011 Sulphur Dioxide (ppb)	2011 Nitrogen Dioxide (ppb)	2011 Volatile Organic Compounds (ppbC)	Latitude	Longitude
50133.00000000	Quebec	Montréal	8200a Rue Chenier, Anjou	Urban Commercial	9.14	24.82	-99.00	-99.00	0.74	11.72	63.96	45.60000000	-73.54000000
50134.00000000	Quebec	Montréal	2580 Saint-Joseph Est	Urban Residential	-99.00	-99.00	31.16	55.38	0.99	13.20	46.72	45.54000000	-73.57000000
50204.00000000	Quebec	Gatineau	255 St-Rédempteur, Hull	Urban Residential	8.01	20.83	32.60	53.63	0.13	6.86	-99.00	45.44000000	-75.72000000
50306.00000000	Quebec	Québec	Face au 891, Painchaud, Ste-Foy	Urban Residential	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	46.79000000	-71.26000000
50307.00000000	Quebec	Québec	Rue Jacques Cartier	Urban Residential	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	46.82000000	-71.23000000
50308.00000000	Quebec	Québec	600 Rue des Sables	Urban Residential	10.88	26.04	27.74	49.38	0.69	10.69	-99.00	46.82000000	-71.22000000
50309.00000000	Quebec	Québec	1352 Rang St-Ange, Ste-Foy	Urban Residential	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	46.77000000	-71.40000000
50310.00000000	Quebec	Québec	1150 Boul. René-Lévesque O.	Urban Residential	8.41	21.25	30.57	51.38	-99.00	7.89	-99.00	46.80000000	-71.25000000
50311.00000000	Quebec	Québec	1465, Rue Félix-Antoine-Savard	Urban Residential	8.32	21.46	30.15	50.00	-99.00	6.65	-99.00	46.77000000	-71.37000000
50404.00000000	Quebec	Sherbrooke	655, Rue Papineau	Urban Residential	6.94	18.67	33.68	58.25	-99.00	-99.00	-99.00	45.41000000	-71.87000000
50504.00000000	Quebec	Saguenay	789 Boul des Étudiants, Chicoutimi	Urban Residential	5.50	16.17	31.37	51.25	-99.00	-99.00	-99.00	48.42000000	-71.05000000
50602.00000000	Quebec	Rouyn-Noranda	218 Rue Portage	Urban Commercial	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	48.23000000	-79.01000000
50604.00000000	Quebec	Rouyn-Noranda	1570 Rue Paradis	Urban Residential	7.36	17.58	34.56	52.38	1.84	-99.00	-99.00	48.23000000	-78.98000000
50801.00000000	Quebec	Trois-Rivières	Face au 678 Rue Hart	Urban Residential	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	46.35000000	-72.54000000
50902.00000000	Quebec	Saguenay	2885 Berthier (Arvida), Jonquière	Urban Residential	-99.00	-99.00	-99.00	-99.00	4.72	-99.00	-99.00	48.43000000	-71.19000000
51201.00000000	Quebec	Shawinigan	363 Rue Frigon	Urban Industrial	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	46.55000000	-72.74000000
51302.00000000	Quebec	Baie Comeau	39, Avenue Mance	Urban Residential	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	49.22000000	-68.15000000
51501.00000000	Quebec	St. Zéphirin-de-Courval	701 Rang Saint-Michel	Rural Agricultural	6.75	20.96	33.30	62.13	-99.00	-99.00	-99.00	46.04000000	-72.66000000
51801.00000000	Quebec	Saint-Joseph-de-Sorel	Face au 113 Léon-XIII	Urban Residential	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	46.05000000	-73.13000000
51802.00000000	Quebec	Sorel-Tracy	80 Rue George	Urban Residential	-99.00	-99.00	-99.00	-99.00	2.64	-99.00	-99.00	46.04000000	-73.11000000
52001.00000000	Quebec	Charette	Au Nord du 170 2e Rang	Rural Forest	9.55	24.00	32.34	55.88	-99.00	-99.00	-99.00	46.44000000	-72.89000000
52101.00000000	Quebec	Saint-Rémi	Voisin du 171, Rang St-paul	Rural Agricultural	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	45.20000000	-73.64000000
52201.00000000	Quebec	Saint-Simon	Derrière le 83, 4e Rang Est	Rural Agricultural	6.97	21.25	33.82	58.75	-99.00	-99.00	-99.00	45.72000000	-72.84000000
52301.00000000	Quebec	Saint-Faustin-Lac-Carré	Chemin du Lac (Caribou)	Rural Agricultural	6.41	15.79	34.55	54.38	-99.00	-99.00	-99.00	46.03000000	-74.48000000
52401.00000000	Quebec	La Pêche	Lac Philippe - Masham	Rural Forest	6.34	17.42	33.79	56.38	-99.00	-99.00	-99.00	45.62000000	-76.02000000
52601.00000000	Quebec	Varennes	4744 Montée Baronie	Urban Residential	-99.00	-99.00	34.02	61.88	-99.00	5.79	-99.00	45.72000000	-73.38000000
52602.00000000	Quebec	Varennes	1870 Route Marie-Victorin	Urban Residential	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	45.67000000	-73.44000000
52701.00000000	Quebec	Témiscaming	Rue Boucher	Urban Industrial	-99.00	-99.00	35.73	62.38	-99.00	-99.00	-99.00	46.72000000	-79.10000000
52801.00000000	Quebec	Auclair	66 Rang St-Grégoire Nord	Rural Forest	3.51	10.58	33.32	52.00	-99.00	-99.00	-99.00	47.73000000	-68.71000000
53201.00000000	Quebec	La Doré	Route 167- la Doré	Rural Forest	4.25	10.92	32.60	54.88	-99.00	-99.00	-99.00	48.81000000	-72.74000000
53301.00000000	Quebec	Deschambault	334, 3 E Rang - Deshambault	Rural Agricultural	5.69	17.28	31.21	53.25	-99.00	-99.00	-99.00	46.68000000	-71.97000000
53401.00000000	Quebec	Ste-Cath.-de-J-Cartier	Face au 56 Laurier	Rural Agricultural	-99.00	-99.00	29.67	52.13	-99.00	-99.00	-99.00	46.84000000	-71.62000000
53501.00000000	Quebec	Saint-François	Face au 198, Royale Île d'Orléans	Rural Agricultural	-99.00	-99.00	33.41	54.75	-99.00	-99.00	-99.00	47.01000000	-70.86000000
53601.00000000	Quebec	Notre-Dame-du-Rosaire	Rang St-Louis	Rural Forest	4.03	12.83	33.56	56.88	-99.00	-99.00	-99.00	46.85000000	-70.45000000
53701.00000000	Quebec	St-Hilaire-de-Dorset	Rang Dorset	Rural Forest	7.37	18.25	38.17	60.00	-99.00	-99.00	-99.00	45.82000000	-70.86000000
53801.00000000	Quebec	Tingwick	Chemin Radar et Warwick	Rural Agricultural	8.74	20.38	36.10	57.75	-99.00	-99.00	-99.00	45.91000000	-71.95000000
53901.00000000	Quebec	Lac-Édouard	Derrière l'hôpital Village	Rural Forest	4.50	11.46	-99.00	50.88	-99.00	-99.00	-99.00	47.65000000	-72.29000000
54102.00000000	Quebec	Sutton	Mont Sutton/Round Top Ridge	Rural Undeveloped	-99.00	-99.00	40.77	60.38	-99.00	-99.00	29.73	45.09000000	-72.56000000
54201.00000000	Quebec	Chapais	Chapais	Rural Undeveloped	-99.00	-99.00	34.74	57.00	-99.00	-99.00	-99.00	49.82000000	-74.98000000
54301.00000000	Quebec	Ste-Françoise	408-12e Rang et Route 265	Rural Agricultural	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	46.43000000	-71.93000000
54401.00000000	Quebec	Saint-Anicet	1128 de la Guerre	Rural Agricultural	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	16.76	45.12000000	-74.28000000
54501.00000000	Quebec	L'Assomption	801 St-Étienne/Route 344	Urban Residential	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	19.98	45.81000000	-73.43000000
54601.00000000	Quebec	Murdochville	603 des Bouleaux	Urban Industrial	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	48.95000000	-65.50000000
54703.00000000	Quebec	Bécancour	8310 Boul. Bécancour	Urban Residential	10.34	24.92	-99.00	-99.00	1.11	4.27	-99.00	46.35000000	-72.43000000
54801.00000000	Quebec	Stukely-Sud	Chemin Montbel	Rural Forest	6.58	16.21	35.77	58.00	-99.00	-99.00	-99.00	45.37000000	-72.26000000
